time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,120.097,97.418,115.447,128.819,165.661,170.676,166.689,153.959,136.696,108.483,99.17,109.529,137.01,146.053,150.914,127.51,123.136,138.888,205.727,88.536,88.727
30,116.41,97.037,114.903,128.337,166.02,171.611,164.863,166.628,135.187,110.809,100.444,108.388,137.31,145.618,150.868,128.575,120.585,136.435,207.12,89.14,88.549
60,73.963,80.722,107.476,114.252,146.639,149.746,145.144,139.885,127.531,101.003,97.678,87.961,141.658,147.279,136.117,115.471,115.163,134.65,219.327,88.793,89.715
90,56.777,72.837,107.029,107.254,156.891,169.506,160.846,138.581,122.146,95.958,92.313,80.225,135.98,139.81,145.006,119.574,116.607,134.917,219.054,93.08,81.956
120,60.017,79.754,101.367,104.309,150.809,149.557,155.593,126.172,125.633,96.444,91.033,82.904,133.253,131.437,142.728,115.486,111.493,117.294,214.484,82.436,74.992
150,65.905,79.607,99.828,108.881,154.609,153.896,154.869,123.652,122.602,91.969,88.535,84.222,132.685,128.472,141.15,115.579,107.662,109.347,199.887,84.813,67.931
180,54.966,84.203,79.252,103.465,149.024,154.893,157.344,120.826,117.233,89.856,81.569,80.192,133.508,124.923,141.545,115.065,106.087,96.872,196.134,68.481,68.278
210,56.35,85.544,77.587,99.957,144.472,154.335,157.469,118.261,116.494,86.856,78.493,77.582,128.846,122.494,143.074,105.855,104.375,88.589,191.019,70.245,64.187
240,50.966,60.046,74.848,100.774,145.35,150.683,156.004,117.285,112.043,84.924,76.316,76.325,119.018,119.962,138.609,104.32,101.535,81.039,184.923,69.883,61.35
270,52.143,60.034,73.963,96.496,141.581,146.372,151.181,114.824,115.15,84.593,77.696,78.505,117.241,114.037,140.416,103.508,97.326,76.135,182.507,70.318,61.312
300,53.811,59.888,75.307,96.289,137.207,140.296,145.915,114.32,114.743,90.841,78.608,70.159,117.674,108.354,141.98,104.581,94.903,73.012,175.798,69.927,61.523
330,52.467,62.579,75.158,98.143,132.896,139.289,153.52,117.281,109.819,89.802,79.067,72.92,113.971,106.168,140.261,104.824,97.495,69.112,175.337,68.851,60.725
360,52.054,62.39,70.937,100.154,135.035,136.706,146.394,116.076,104.594,87.178,80.566,69.544,109.53,106.141,137.768,100.183,97.128,68.722,179.423,69.229,61.661
390,51.43,67.874,71.702,103.706,133.85,139.146,144.835,116.42,104.861,87.248,74.843,69.98,101.249,105.205,137.274,101.208,96.159,67.415,178.316,68.864,54.841
420,53.779,66.057,65.607,105.298,131.793,137.548,144.233,117.206,105.35,90.167,74.062,70.772,96.873,95.357,135.305,98.277,94.721,66.389,177.21,64.973,51.911
450,53.166,62.335,66.499,101.315,129.924,131.972,140.961,115.607,101.991,88.42,73.303,70.741,93.744,93.06,132.726,96.7,95.299,64.94,176.399,64.669,52.63
480,55.728,63.722,68.246,102.702,126.317,129.461,139.924,118.933,105.391,88.23,73.005,70.625,93.76,92.896,132.051,95.749,93.858,62.516,174.59,63.266,53.247
510,55.848,66.215,65.96,103.004,124.981,128.863,138.409,118.435,106.369,91.64,75.932,71.409,91.327,92.819,130.88,93.788,95.146,63.921,173.216,62.579,52.411
540,54.86,67.994,69.57,104.259,123.104,125.993,139.654,119.383,111.746,89.261,77.095,73.664,88.766,94.369,129.337,93.034,94.493,63.331,172.55,61.542,52.33
570,52.788,66.115,65.352,101.589,121.746,123.817,140.378,121.848,114.794,88.587,78.133,74.269,85.918,94.893,127.424,92.259,94.418,61.958,169.845,62.139,53.562
600,53.501,67.166,69.92,100.874,118.257,121.396,136.746,124.015,113.298,89.689,74.89,74.882,85.511,96.089,126.117,91.172,93.937,62.852,163.426,60.343,52.913
630,52.693,68.238,68.719,101.326,116.869,121.552,136.58,123.059,113.443,92.969,78.333,74.878,85.8,95.924,127.334,89.74,92.801,62.795,164.08,60.027,54.774
660,55.097,68.736,74.066,102.211,115.513,119.393,134.606,127.637,115.504,92.723,77.344,73.141,83.881,94.912,122.685,92.953,92.088,63.41,164.138,60.427,56.267
690,55.865,70.888,72.851,104.835,116.441,119.463,135.406,129.935,115.781,90.883,78.121,71.645,83.861,95.991,122.378,90.847,88.912,63.802,161.919,60.938,56.224
720,57.14,71.032,70.585,100.702,116.719,121.326,135.556,134.446,116.381,92.243,78.631,72.403,84.205,95.82,121.267,91.918,87.677,62.681,161.711,60.332,57.492
750,58.003,71.642,74.341,103.352,116.376,115.631,134.426,134.7,116.391,92.18,79.855,73.477,84.609,90.662,118.737,91.157,88.976,61.138,164.907,61.598,58.927
780,59.413,69.742,76.43,100.285,113.743,113.417,134.737,139.591,120.574,91.911,81.127,75.35,83.238,92.865,116.989,89.857,89.849,63.107,160.805,59.596,58.821
810,57.381,70.98,74.862,99.998,114.709,113.156,132.354,137.106,118.611,94.256,82.627,62.944,82.466,91.524,117.117,88.342,89.854,62.452,160.178,58.634,58.065
840,58.493,70.198,77.335,98.6,111.822,117.126,133.833,127.774,119.256,92.825,81.023,61.898,83.761,92.954,117.454,88.386,90.546,63.521,158.504,59.527,57.106
870,59.754,70.579,78.9,98.419,114.583,117.904,132.298,127.067,119.893,95.546,74.117,62.093,84.933,91.051,116.64,89.067,90.296,61.948,154.556,59.752,58.949
900,61.203,68.53,79.997,102.302,115.47,115.556,130.272,127.693,120.317,95.159,71.898,63.184,83.828,92.583,114.438,88.759,90.387,63.004,152.891,58.89,58.181
930,59.192,69.653,78.155,100.663,116.206,116.983,128.128,125.02,116.615,94.496,72.388,64.025,82.623,91.802,114.824,89.782,89.975,63.54,153.592,59.193,59.375
960,61.206,71.126,82.014,98.263,114.38,115.635,128.685,126.357,119.03,96.593,73.01,66.801,81.416,91.244,113.959,87.962,89.798,63.683,152.101,60.364,60.783
990,60.057,69.295,81.759,100.446,112.904,117.746,125.748,128.693,115.781,97.198,73.664,64.108,82.211,93.142,114.678,88.402,91.1,64.33,147.675,59.007,56.837
1020,61.212,72.203,79.436,97.061,112.967,116.848,126.967,129.409,115.785,97.517,75.132,65.481,81.53,93.691,113.922,88.093,90.126,63.772,143.141,58.501,54.325
1050,61.029,72.662,79.593,96.011,113.133,117.048,127.107,126.92,113.569,96.726,76.391,67.061,80.195,93.07,112.74,88.404,89.907,63.582,139.882,59.614,53.461
1080,60.602,73.596,80.966,95.504,110.243,117.556,124.019,125.517,109.719,93.433,76.025,62.715,78.831,93.464,113.756,87.707,89.574,63.891,141.17,59.209,51.386
1110,62.109,70.433,79.066,94.361,112.12,116.615,124.654,125.463,110.178,82.963,76.504,63.941,80.791,95.727,112.391,87.274,90.015,64.102,142.93,58.357,50.468