time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
0,2909.507,2055.169,1941.654,2302.018,3300.609,1530.702,3966.05,2314.072,2224.331,1623.744,2380.826,1985.055,2412.82,2341.129,2736.849,2902.92,2596.053,1964.551,2930.247,2259.052
2,2948.484,1915.862,1905.026,2242.484,3368.145,1499.75,3906,2146.356,2061.857,1595.843,2313.823,1984.222,2443.551,2327.244,2802.173,2994.822,2608.711,1919.781,2909.904,2286.815
4,1963.671,1360.44,1433.25,1834.956,1936.072,1261.149,2527.125,1663.928,1442.14,939.833,1435.085,1231.536,1299.973,1815.911,1961.471,2048.738,1419.942,1601.75,2480.516,1789.018
6,1940.124,1396.516,1440.378,2060.516,1719.87,1171.933,2664.75,1755.471,1486.488,1111.498,1349.41,1177.195,1385.75,1859.293,1954.716,1978.356,1508.347,1619.1,2563.237,1940.297
8,1956.307,1430.556,1406.051,2040.831,1585.014,1041.875,2785.412,1870.697,1436.051,1205.601,1287.471,1183.294,1568.473,1816.107,2057.151,1959.204,1529.316,1578.355,2666.122,1922.516
10,1953.924,1440.511,1466.295,2025.231,1623.638,1062.942,2537.863,1682.51,1484.782,1244.99,1387.526,1201.717,1581.965,1758.173,2027.316,1934.658,1490.596,1565.797,2628.706,1806.93
12,1821.262,1397.6,1363.455,1961.973,1501.667,1078.894,2549.688,1649.236,1536.034,1264.075,1368.587,1232.836,1548.996,1605.293,1875.849,1781.364,1413.92,1495.167,2510.19,1726.148
14,1871.898,1335.427,1303.949,2002.889,1497.29,1055.683,2493.387,1684.173,1516.089,1247.536,1264.372,1191.406,1609.844,1600.556,1954.729,1752.453,1424.68,1523.357,2522.823,1720.01
16,1813.467,1382.422,1385.942,1916.991,1336.493,1040.303,2532.125,1696.418,1552.522,1196.843,1265.737,1215.792,1616.082,1535.596,1885.164,1752.009,1366.884,1572.261,2483.214,1670.789
18,1804.311,1323.076,1318.122,1893.858,1356.13,1084.697,2320.65,1710.442,1590.799,1248.184,1228.143,1282.297,1677.875,1550.609,1717.68,1703.316,1319.271,1533.868,2543.906,1661.971
20,1800.031,1260.053,1366.064,1892.013,1410.957,1023.731,2449.075,1712.197,1586.628,1267.314,1227.089,1254.392,1635.984,1457.844,1695.88,1764.293,1350.596,1561.996,2611.307,1675.872
22,1757.191,1293.04,1341.115,1964,1439.029,1035.899,2572.562,1665.226,1561.314,1337.102,1138.123,1171.823,1675.664,1426.911,1699.12,1785.356,1347.098,1558.145,2638.102,1703.68
24,1775.409,1336.053,1321.974,1897.871,1405.507,1083.375,2613.312,1751.293,1516.621,1276.87,1191.201,1184.809,1650.637,1559.178,1770.773,1725.693,1240.649,1557.348,2671.786,1686.401
26,1820.667,1328.271,1443.763,1943.396,1431.957,1045.077,2447.338,1635.611,1528.471,1246.055,1110.703,1206.433,1680.344,1486.644,1765.898,1738.262,1329.538,1567.766,2682.081,1677.901
28,1783.969,1292.876,1497.564,2000.436,1537.377,1067.264,2451.262,1796.764,1586.683,1233.573,1127.338,1174.802,1710.148,1538.56,1665.733,1808.484,1252.276,1515.882,2652.255,1644.411
30,1817.902,1359.089,1510.859,1964.404,1483.507,1120.337,2275.137,1712.913,1566.15,1212.321,1172.792,1175.201,1795.219,1493.076,1565.942,1823.604,1208.213,1603.42,2645.831,1614.815
32,1713.462,1450.982,1443.513,1921.436,1384.13,1004.12,2421.45,1676.106,1581.229,1269.652,1194.488,1243.655,1836.141,1477.996,1730.124,1781.124,1203.671,1584.225,2605.841,1660.951
34,1744.556,1406.827,1475.192,1940.36,1429.362,1116.654,2527.863,1772.928,1504.509,1268.222,1196.778,1198.922,1792.582,1524.213,1792.773,1878.276,1232.062,1562.319,2756.146,1670.232
36,1761.107,1425.018,1465.513,1982.142,1495.319,1125.462,2354.037,1826.346,1533.423,1247.935,1120.526,1170.546,1651.184,1514.92,1761.529,1890.933,1309.769,1585.33,2733.039,1665.216
38,1704.889,1438.653,1539.109,1973.613,1493.087,1066.303,2165.5,1909.952,1580.584,1296.683,1135.683,1178.549,1742.707,1524.093,1717.302,1801.836,1249.084,1584.217,2688.872,1679.604
40,1706.964,1512.578,1618.679,1928.04,1462,1086.433,2205.45,1719.293,1560.352,1287.174,1126.672,1207.212,1667.449,1490.698,1741.716,1970.32,1342.236,1570.808,2707.521,1713.417
42,1815.284,1400.142,1532.417,1999.076,1579.928,1014.947,2079.175,1786.788,1534.386,1244.471,1164.072,1125.505,1696.578,1551.667,1800.613,2013.516,1346.436,1674.471,2658.341,1666.799
44,1781.204,1420.071,1502.199,1899.578,1598.174,1069.212,2062.9,1818.928,1568.952,1268.761,1178.973,1253.645,1672.969,1553.902,1783,2188.991,1384.369,1608.799,2619.99,1727.312
46,1817.107,1406.596,1594.256,1924.844,1494.652,1037.649,2108.35,1865.644,1621.942,1331.02,1238.618,1257.7,1649.328,1629.431,1955.849,2194.489,1457.916,1705.987,2688.964,1748.977
48,1796.836,1465.573,1563.994,1950.947,1569.261,1070.029,2174.588,1700.981,1535.02,1287.235,1153.962,1318.123,1773.219,1597.271,1859.502,1960.116,1498.253,1678.112,2615.974,1668.672
50,1895.249,1541.924,1611.91,1955.8,1484.696,1063.139,2248.812,1736.231,1538.167,1271.065,1165.621,1289,1841.844,1675.809,1932.627,1975.409,1537.911,1638.971,2584.706,1721.909
52,1940.889,1449.627,1657.686,2020.596,1715.797,1094.784,2215.787,1739.793,1497.877,1216.836,1164.082,1282.287,1839.23,1691.16,1884.258,2025.724,1491.031,1680.879,2606.503,1776.857
54,1952.004,1416.027,1611.705,1958.631,1719.681,1167.702,2282.812,1764.423,1512.959,1264.218,1138.782,1230.676,1935.762,1826.591,1920.933,1957.453,1589.853,1638.127,2623.034,1753.818
56,2013.92,1382.844,1629.654,1981.458,1763.101,1164.548,2165.988,1828.144,1507.051,1346.747,1234.075,1260.727,1795.926,1833.347,1951.747,1915.018,1565.413,1691.35,2528.182,1761.693
58,2079.676,1312.853,1617.782,1942.204,1767.014,1171.904,2227.613,1883.495,1448.225,1281.949,1244.877,1256.502,1534.23,1821.116,2058.302,2176.947,1549.347,1721.373,2525.195,1671.034
60,2020.289,1348.947,1563.019,1912.782,1821.203,1216.447,2206.863,1857.846,1464.195,1356.727,1251.526,1178.072,1490.379,1895.884,1751.311,2157.516,1573.836,1687.415,2536.339,1619.406
62,2155.951,1448.756,1549.154,2050.271,1828.246,1313.712,2193.3,1920.115,1550.635,1344.853,1266.765,1183.311,1545.441,1988.978,1920.049,2303.164,1617.284,1790.161,2531.805,1792.768
64,2130.636,1476.916,1624.269,2079.018,1765.957,1353.356,2222.875,1946.659,1474.034,1322.809,1222.027,1290.218,1577.797,2006.711,1925.956,2230.551,1610.449,1729.237,2627.234,1805.172
66,2105.738,1398.902,1626.231,1957.84,1646.783,1263.981,2158.175,1934.837,1602.372,1313.734,1283.966,1142.396,1462.527,2061.404,2008.333,2312.498,1628.876,1747.152,2634.721,1679.339
68,2098.831,1335.329,1630.321,1962.631,1694.203,1181.697,2347.988,1806.5,1490.27,1272.133,1216.631,1077.915,1464.18,1960.253,1788.693,2141.564,1549.169,1698.328,2608.049,1745.253
70,2257.333,1350.564,1658.885,2004.258,1583.29,1320.567,2408.438,1960.548,1613.659,1350.14,1324.13,1181.7,1506.48,2021.156,1815.271,2229.427,1564.507,1738.219,2640.784,1800.654
72,2346.044,1367.964,1608.962,2037.227,1501.42,1306.812,2293.725,1957.019,1570.659,1399.048,1302.915,1160.106,1502.832,2031.058,1825.849,2188.733,1669.631,1736.929,2591.643,1839.547
74,2165.129,1384.338,1649.346,2026.551,1458.406,1270.077,2384.875,1953.942,1531.836,1352.922,1246.59,1183.86,1551.508,1921.747,1778.147,2197.44,1620.658,1711.551,2559.872,1826.549
76,2273.369,1545.724,1713.135,2061.844,1467.58,1312.351,2295.65,1853.49,1613.751,1378.362,1274.611,1098.235,1562.176,1916.293,1725.124,2065.333,1620.08,1795.141,2654.745,1846.826
78,2266.911,1497.871,1663.263,2000.644,1576.957,1327.298,2339.838,1938.389,1547.812,1387.051,1324.003,1054.925,1550.078,1905.942,1805.471,2003.773,1640.24,1745.786,2643.667,1817.068
80,2109.529,1482.258,1661.128,2012.364,1455.899,1349.024,2238.012,1920.207,1551.904,1348.846,1277.454,1146.594,1561.711,1985.973,1782.218,1948.16,1672.333,1778.067,2644.589,1869.008
82,2171,1401.693,1711.692,2019.058,1572.464,1328.043,2313.975,1856.173,1627.287,1330.549,1351.877,1081.727,1518.262,1837.916,1791.72,1869.018,1657.138,1744.098,2641.503,1834.06
84,2093.307,1502.836,1696.628,1973.422,1612.464,1273.769,2251.738,1885.423,1566.249,1388.662,1320.843,1066.478,1534.613,1915.849,1781.151,1853.489,1745.413,1661.895,2562.198,1847.888
86,2161.591,1442.476,1654.173,1958.187,1532.536,1263.433,2395.3,1789.192,1571.256,1444.212,1350.584,1236.614,1585.012,1928.44,1799.347,1869.933,1725.716,1687.699,2521.672,1912.125
88,2268.169,1553.267,1664.904,1920.671,1483.362,1273.827,2297.262,1742.909,1567.768,1389.662,1321.379,1096.198,1521.996,1942.116,1804.6,2028.076,1755.569,1657.658,2506.055,1870.023
90,2123.684,1547.022,1629.506,1973.822,1440.304,1311.394,2421.113,1765.63,1642.491,1292.495,1276.003,1097.836,1470.887,1814.489,1877.027,1934.529,1729.92,1569.931,2459.448,1867.19
92,2157.089,1648.516,1598.795,1966.409,1461.928,1312.139,2365.463,1850.322,1683.065,1341.075,1320.341,1085.928,1493.797,1893.204,1763.418,1955.169,1799.284,1639.29,2437.721,1884.646
94,2224.204,1588.96,1579.34,1949.484,1437.014,1310.125,2350,1888.726,1679.119,1259.536,1268.331,1102.809,1463.465,1836.258,1894.702,1894.96,1791.667,1636.17,2536.802,1882.346
96,2299.16,1584.053,1599.603,2062.427,1509.754,1343.312,2462.137,1911.894,1825.017,1385.556,1351.874,1142.833,1504.684,1852.898,1820.413,1774.964,1789.338,1619.562,2493.938,1927.708
98,2232.48,1602.947,1526.346,2039.138,1493.696,1287.572,2471.562,1878.25,1802.113,1332.007,1408.017,1096.7,1524.887,1896.507,1867.796,1715.018,1688.373,1606.696,2505.885,1919.888