time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,924.804,1317.75,1571.667,900.288,931.762,783.458
10,928.391,1264.602,1600.61,901.299,974.953,838.102
20,926.138,1286.25,1593.762,961.983,932.93,799.78
30,915.444,1309.523,1532.309,1006.203,946.746,835.921
40,948.671,1275.199,1617.874,952.525,959.176,812.655
50,923.738,1295.039,1535.005,929.153,938.262,775.463
60,917.644,1287.906,1598.561,1014.768,918.059,800.48
70,887.613,1363.957,1530.796,1008.073,950.852,767.04
80,909.591,1404.242,1516.637,962.554,893.547,820.316
90,885.84,1301.059,1524.109,1040.243,964.879,831.435
100,856.48,1395.363,1524.154,1043.102,903.566,835.39
110,874.142,1411.355,1549.171,1026.876,927.281,717.537
120,832.853,1320.035,1484.689,1005.373,938.141,693.932
130,889.551,1376.469,1510.19,1009.311,950.453,750.655
140,947.671,1312.324,1523.235,996.102,938.645,789.853
150,953.284,1352.574,1505.594,973.853,926.348,790.068
160,852.484,1321.43,1484.876,992.04,903.152,837.831
170,857.969,1304.879,1482.485,992.621,937.156,765.661
180,898.302,1412.5,1475.33,1022.729,950.715,762.158
190,874.156,1382.117,1497.318,1072.588,941.668,794.52
200,962.542,1331.738,1466.637,1021.898,950.957,851.407
210,861.791,1322.699,1471.504,1074.802,939.312,813.04
220,828.618,1298.695,1496.639,1052.667,923.121,764.492
230,864.204,1305.258,1506.247,926.333,893.754,765.842
240,890.218,1274.871,1414.637,1032.881,917.32,813.192
250,889.147,1345.289,1463.701,1007.051,903.207,756.147
260,852.373,1278.48,1464.717,961.859,902.23,796.706
270,877.324,1333.883,1485.387,1065.407,923.016,721.842
280,849.404,1374.559,1452.691,1064.034,929.496,738.955
290,850.987,1340.02,1443.929,1088.763,888.941,780.339
300,841.262,1375.551,1449.907,1034.463,907.938,706.102
310,877.298,1347.566,1434.425,1005.729,943.703,766.565
320,812.227,1234.453,1421.52,1026.548,923.914,776.22
330,844.942,1327.203,1411.057,961.102,925.098,747.785
340,845.267,1320.555,1363.062,1050.616,892.977,673.384
350,807.711,1328.07,1346.021,1009.514,877.363,684.96
360,826.378,1298.922,1406.634,1025.203,906.008,719.39
370,826.547,1320.855,1416.444,1017.876,894.684,700.672
380,863.556,1337.91,1350.741,1045.124,855.293,669.627
390,807.093,1265.688,1345.589,1003.26,958.137,653.627
400,854.667,1349.68,1324.261,1021.548,904.082,647.113
410,867.431,1257.5,1339.57,993.011,895.969,624.068
420,828.187,1348.445,1363.827,1043.531,920.977,710.282
430,843.16,1338.453,1322.886,1063.469,916.262,683.006
440,818.44,1347.25,1345.886,993.333,924.539,658.955
450,803.884,1297.266,1340,1030.768,921.141,658.452
460,856.716,1265.57,1389.893,1061.955,925.82,604.554
470,792.733,1306.332,1302.822,1045.695,971.441,650.441
480,843.271,1361.008,1325.454,1054.299,892.84,620.367
490,883.942,1376.32,1365.691,961.751,857.367,636.305
500,841.738,1320.793,1338.33,1009.068,896.422,632.006
510,836.6,1321.977,1350.176,975.864,900.492,585.096
520,793.391,1309.734,1390.717,964.751,894.957,625.943
530,814.711,1325.699,1385.188,915.831,865.484,706.311
540,811.938,1311.66,1365.323,970.537,822.609,632.017
550,746.249,1357.148,1401.078,972.305,822.352,603.249
560,811.142,1327.574,1303.116,952.299,875.922,702.853
570,826.867,1320.137,1290.924,981.842,805.82,647.373
580,844.627,1322.805,1385.176,946.757,831.918,685.469
590,820.093,1358.23,1353.24,954.503,868.496,624.254
600,843.031,1335.492,1358.413,967.226,842.547,649.068
610,844.604,1317.688,1375.204,938.057,857.105,633.023
620,802.64,1323.703,1345.703,990.876,912.402,594.943
630,761.987,1283.188,1286.097,915.407,879.281,606.938
640,793.471,1346.375,1304.382,868.548,891.309,720.785
650,757.098,1254.625,1406.872,910.825,842.07,650.062
660,798.711,1308.578,1296.088,893.576,892.164,617.458
670,769.231,1306.816,1344.948,969.271,884.848,609.977
680,765.329,1307.293,1374.214,918.486,853.852,591.689
690,778.049,1307.969,1367.539,972.915,884.293,599.927
700,831.498,1328.684,1320.857,950.571,872.223,521.819
710,770.636,1259.062,1331.439,912.299,846.484,568.062
720,759.098,1266.523,1312.214,812.057,828.684,667.808
730,771.524,1251.773,1355.181,881.864,822.453,590.791
740,821.907,1297.445,1345.781,793.011,822.297,608.073
750,797.311,1290.379,1310.064,922.333,853.625,565.559
760,820.769,1320.512,1394.192,913.525,843.215,605.565
770,786.213,1295.664,1364.969,890.034,872.988,585.113
780,795.302,1316.398,1383.067,828.181,886.359,558.294
790,775.36,1324.453,1336.705,800.469,803.527,630.819
800,803.649,1289.852,1336.734,849.446,877.668,569.503
810,796.236,1261.828,1349.755,828.927,858.156,612.356
820,725.178,1316.113,1328.157,827.955,879.324,625.785
830,839.302,1353.742,1386.409,856.26,881.703,543.554
840,826.916,1284.113,1313.197,805.627,879.023,588.186
850,768.356,1253.555,1305.337,851.328,874.809,534.994
860,781.684,1294.824,1310.387,895.768,926.508,567.96
870,805.351,1306.566,1329.242,802.825,886.012,541.548
880,774.458,1361.512,1351.29,812.113,906.172,613.644
890,765.973,1297.871,1337.572,821.65,807.199,572.136
900,767.773,1285.73,1285.667,784.604,778.195,613.718
910,747.876,1278.379,1325.059,733.045,810.59,582.87
920,757.667,1290.422,1303.363,823.045,811.82,624.604
930,802.684,1274.07,1303.178,852.452,799.117,596.701
940,772.56,1268.887,1278.682,803.864,780.672,607.96
950,799.898,1240.609,1297.976,837.322,764.984,579.548
960,752.813,1306.25,1256.563,739.147,756.613,668.266