time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9
0,227.126,370.987,32.398,30.672,160.278,189.149,197.524,103.654,102.135
20,212.102,380.506,29.409,30.862,156.986,181.894,214.129,105.99,110.913
40,234.188,370.218,29.883,29.911,158.84,179.169,214.02,106.365,116.144
60,232.454,385.526,27.654,34.878,156.393,172.794,189.203,107.452,120.197
80,226.672,366.481,29.172,30.378,163.92,165.854,201.235,102.981,117.38
100,215.522,332.551,35.411,31.568,157.189,156.513,199.355,107.755,119.63
120,218.15,366.25,35.654,33.724,156.421,164.805,205.109,117.087,121.255
140,239.058,353.949,34.422,29.289,149.063,173.034,211.355,111.938,116.692
160,221.911,345.955,33.833,33.534,145.994,173.378,195.963,111.428,120.87
180,227.775,364.782,35.229,31.591,152.903,175.046,197.711,104.615,130.846
200,222.99,356.474,33.357,30.406,144.908,166.622,201.759,114.135,125.745
220,208.788,350.256,32.424,28.909,143.33,170.117,195.332,101.981,127.524
240,213.369,347.006,33.898,28.094,140.341,167.605,200.725,98.918,123.625
260,218.98,351.141,29.943,36.565,139.312,167.754,191.771,108.062,123.75
280,230.87,339.224,33.057,31.06,126.04,154.215,183.797,105.034,122.986
300,224.805,319.397,31.052,28.349,145.014,163.195,176.731,95.966,117.558
320,211.331,340.346,29.638,30.081,139.083,157.309,188.063,103.913,132.582
340,212.672,343.487,29.453,28.63,145.387,164.077,185.378,105.288,135.202
360,217.324,329.186,30.602,30.383,152.123,168.341,193.258,115.452,132.082
380,203.089,325.987,31.904,30.599,154.754,170.567,198.57,109.534,127.476
400,216.031,347.115,32.799,33.953,150.201,169.542,190.762,101.144,124.899
420,209.57,319.096,24.56,31.128,144.361,171.739,199.484,108.913,128.567
440,207.628,316.609,33.583,29.664,133.063,164.378,188.771,108.269,126.163
460,197.041,321.968,30.927,33.393,131.659,164.828,188.198,101.846,124.067
480,205.563,312.667,29.674,33.76,137.06,162.461,194.289,92.529,117.538
500,202.703,338.141,32.234,34.19,132.516,164.682,191.135,103.861,118.269
520,190.812,323.115,31.534,36.984,131.487,164.298,195.332,103.938,116.288
540,194.027,320.718,27.573,30.133,132.235,159.716,194.88,99.865,122.707
560,193.485,309.154,28.266,27.94,137.888,160.648,191.779,100.125,118.942
580,207.573,315.66,25.802,32.01,134.169,150.556,196.261,108.837,105.332
600,206.157,318.917,24.94,29.065,135.117,162.868,186.659,107.952,105.841
620,211.662,298.256,27.724,31.526,134.774,160.691,194.507,108.418,108.308
640,195.379,290.487,23.737,37.792,134.98,156.361,190.734,102.423,100.856
660,199.625,297.167,28.094,29.341,130.799,150.372,186.244,98.716,110.394
680,205.198,303.885,27.076,35.466,134.736,148.186,183.817,105.726,110.197