time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
0,100.844,82.464,78.184,239.108,263.799,66.539,50.84,254.776,190.995,43.87,64.667
20,111.364,75.792,82.065,242.127,274.106,66.223,56.516,249.692,181.32,51.316,62.554
40,103.156,74.734,71.324,240.674,279.973,67.07,52.648,234.391,191.878,46,69.294
60,96.844,61.836,71.201,223.468,262.355,70.258,61.172,224.635,186.016,50.475,50.356
80,96.742,48.273,61.338,200.655,260.836,61.582,56.457,208.192,184.544,46.876,51.271
100,88.853,42.782,58.44,200.835,260.519,56.879,64.66,204.577,188.328,46.486,54.062
120,83.72,37.754,48.089,200.472,249.324,58.289,52.734,209.026,172.003,46.339,46.52
140,82.049,43.024,51.549,212,251.249,58.074,48.387,207.808,195.052,61,61.424
160,85.689,40.191,51.802,190.041,249.737,56.363,49.668,220.699,209.935,56.751,60.243
180,87.058,47.386,53.249,188.766,246.532,57.18,52.16,223.128,185.526,61.384,61.605
200,85.751,43.693,50.215,187.266,251.549,60.859,57.168,254.192,181.398,54.034,56.661
220,83.858,44.59,49.679,191.642,240.908,75.242,62.184,296.391,186.177,51.203,63.972
240,95.836,53.184,57.365,194.361,244.601,65.422,66.43,290.167,180.24,60.621,66.113
260,83.658,52.369,56.857,206.478,245.338,63.582,65.07,300.679,181.81,52.073,64.215
280,84.64,53.41,52.526,194.427,233.846,63.273,66.91,286.5,181.771,57.814,61.819
300,101.453,52.904,55.771,209.114,241.833,64.246,62.617,270.045,183.354,60.09,57.475
320,92.658,52.625,61.7,208.139,226.614,67.633,67.09,255.135,185.182,62.446,64.249
340,84.822,52.758,52.887,217.304,231.02,66.613,75.953,247.699,178.401,60.458,61.181
360,87.507,55.15,57.355,202.231,227.614,64.355,76.258,261.545,181.38,58.836,61.266
380,81.142,58.229,52.294,198.073,239.635,70.664,60.574,264.66,174.307,55.243,52.237
400,75.48,56.314,61.072,188.835,232.451,64.25,59.754,257.333,173.06,60.966,65.904
420,78.729,54.28,52.41,192.911,222.017,69.406,57.98,277.724,169.831,57.441,60.65
440,81.378,61.826,59.549,195.073,236.249,72.469,61.578,292.596,164.69,55.322,60.932
460,87.396,58.669,57.628,201.747,230.092,66.145,61.344,355.942,165.143,55.684,63.215
480,84.804,65.945,52.58,200.152,222.416,68.133,57.699,363.641,168.807,53.028,63.367
500,86.129,58.345,52.833,207.241,229.222,69.344,61.027,313.173,171.12,61.48,67
520,83.689,63.802,54.276,206.203,221.945,74.801,62.953,257.788,168.971,57.028,56.797
540,74.609,59.727,54.024,193.649,237.775,72.625,59.41,258.878,165.469,55.39,51.243
560,84.062,65.15,53.526,176.111,227.246,66.535,57.984,250.205,160.839,57.209,59.802
580,84.596,57.86,57.833,209.978,231.908,67.727,57.211,254.205,152.128,60.345,65.802
600,80.707,55.338,50.584,185.323,218.072,64.516,60.68,239.141,163.562,56.751,67.525
620,81.969,52.717,51.638,187.981,229.782,59.094,57.992,235.647,160.607,56.847,54.842
640,84.111,64.461,61.522,177.655,234.87,69.629,56.824,226.551,159.237,46.661,61.028
660,78.973,57.734,62.29,171.706,220.454,63.434,60.414,237.308,152.237,47.751,61.429
680,75.836,56.386,52.942,184.839,228.457,55.551,57.367,214.038,150.875,52.271,61.339
700,75.036,56.805,52.177,190.373,232.679,59.582,56.41,228.359,151.727,51.056,62.904
720,79.622,54.266,55.795,177.25,230.529,56.402,55.27,214.994,154.901,52.565,55.712