time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
-60,2453.444,2212.854,1115.99,1166.808,1748.918,2669.424,1873.093,3675.893,2115.91,2354.449,3250.693,3271.065,2111.447,3634.139,2464.55,2621.358
-50,2509.476,2168.839,1050.048,1142.288,1708.126,2496.107,1974.557,3612.714,2081.218,2334.978,3419.044,3221.16,2089.321,3546.679,2340.4,2603.519
-40,2508.769,2169.482,1121.208,1225.404,1736.522,2601.554,1920.144,3568.268,2216.551,2358.236,3414.839,3244.396,2082.341,3514.058,2364.075,2633.772
-30,2583.871,2222.423,1108.952,1216.88,1671.345,2614.04,1919.649,3655.116,2205.667,2444.689,3456.051,3236.485,2067.495,3589.401,2475.85,2651.5
-20,2610.898,2159.431,1093.259,1171.197,1706.618,2518.379,1986.412,3624.339,2210.763,2493.684,3471.263,3148.041,2076.713,3512.35,2482.988,2626.484
-10,2581.533,2200.263,1116.553,1248.096,1743.249,2590.429,2035.918,3693.768,2143.109,2411.067,3438.175,3146.904,2006.532,3524.168,2382.225,2624.253
0,2512.671,1862.92,1048.007,1113.096,1514.778,2482.395,1669.402,3502.357,1936.885,2333.071,3369.328,3139.01,1972.365,3318.737,2097.075,2494.177
10,2453.338,1713.818,1056.198,1094.894,1521.212,2351.215,1713.536,3451.679,1957.429,2310.649,3260.474,3152.556,1900.608,3284.65,2110.988,2491.737
20,2391.244,1693.394,1033.556,1154.572,1474.915,2288.028,1792.536,3269.152,1873.353,2295.898,3201.489,3061.072,1865.235,3231.993,2057.5,2513.291
30,2491.964,1700.328,1010.625,1153.091,1536.352,2344.638,1759.629,3351.17,1869.737,2285.924,3177.022,3137.201,1879.502,3228.73,1940,2529.282
40,2456.951,1714.635,1083.594,1160.582,1563.737,2315.294,1767.186,3273.455,1985.115,2250.711,3203.796,3019.505,1802.287,3016.358,1996.688,2552.604
50,2539.04,1637.029,1055.239,1112.404,1533.375,2323.746,1819.588,3358.973,1920.641,2231.164,3191.599,3049.229,1849.386,2998.65,1924.713,2544.677
60,2526.916,1620.642,1030.167,1122.865,1558.413,2248.791,1842.515,3322.634,1936.974,2120.067,3177.088,2894.208,1825.993,2796.175,1908.963,2545.576
70,2636.462,1608.073,1102.382,1210.938,1583.512,2190.085,1790.773,3221.634,1901.308,2283.787,3103.255,3002.171,1856.983,2870.175,1915.15,2497.307
80,2634.867,1627.496,1040.164,1105.837,1550.287,2257.972,1739.845,3198.295,1935.506,2223.524,3045.358,2971.212,1822.215,2870.533,1867.438,2502.098
90,2657.911,1665.226,1071.201,1109.288,1591.287,2270.017,1856.01,3179.5,1859.301,2250.911,3038.92,2945.829,1801.638,2908.453,1960.475,2515.155
100,2540.84,1597.153,1024.085,1073.471,1509.01,2186.169,1786.093,3207.688,1836.532,2229.493,3063.569,2923.113,1856.645,2843.628,1908.638,2496.234
110,2587.253,1602.044,1102.372,1108.288,1580.812,2337.932,1747.412,3149.134,1786.09,2223.973,3086.117,2919.785,1844.341,2891.431,1951,2546.573
120,2506.916,1617.774,1025.16,1171.976,1537.229,2256.746,1732.99,3123.902,1768.288,2231.964,3061.985,2907.321,1853.174,2899.088,1894.3,2526.427
130,2518.258,1634.993,992.02,1096.62,1508.71,2270.266,1725.186,3031.438,1774.795,2227.596,3137.715,2832.625,1823.911,2850.657,1983.638,2541.892
140,2483.542,1583.708,1028.16,1113.279,1545.137,2264.192,1694.402,2989.902,1669.756,2172.773,3127.985,2916.184,1841.584,2901.226,1862.675,2571.677
150,2479.569,1508.686,1042.188,1118.111,1546.758,2307.249,1773.165,3017.375,1729.372,2244.271,3146.131,2877.577,1871.051,2818.745,1929.525,2539.136
160,2500.636,1532.175,1090.478,1060.303,1556.86,2202.305,1766.691,3027.062,1661.891,2139.671,3111.788,2855.358,1861.416,2782.796,1917.575,2501.769
170,2474.062,1545.818,1038.157,1090.091,1509.778,2216.35,1809.464,2885.911,1584.385,2248.756,3010.263,2864.959,1837.642,2690.708,1801.763,2602.611
180,2297.458,1530.657,1038.846,1103.399,1480.017,2180.045,1812.897,3022.232,1606.506,2207.4,3130.255,2870.676,1833.29,2733.431,1757.263,2577.69
190,2382.733,1516.423,1052.212,1107.101,1477.584,2233.395,1703.66,2963.375,1616.115,2140.707,3147.781,2868.724,1911.416,2663.737,1866.025,2553.956
200,2448.449,1464.657,993.276,1142.005,1470.976,2181.226,1827.247,2854.143,1573.224,2113.124,3147.993,2866.191,1878.119,2668.81,1807.625,2544.908
210,2301.827,1418.818,1056.041,1114.279,1488.413,2166.254,1691.175,2916.58,1433.699,2105.089,3149.723,2824.246,1815.98,2675.642,1605.037,2489.722
220,2344.311,1462.365,1036.44,1046.726,1416.672,2248.395,1722.804,2853.286,1479.269,2129.969,3015.175,2851.143,1790.505,2656.168,1608.312,2517.256
230,2310.902,1406.212,972.744,1093.351,1453.27,2058.734,1716.969,2797.679,1340.25,2065.191,3098.912,2744.109,1816.324,2691.942,1479.3,2478.269
240,2313.089,1357.883,962.594,1031,1399.986,2155.09,1756.897,2897.446,1360.308,1974.64,3053.219,2699.536,1813.345,2650.679,1520.062,2470.453
250,2307.853,1412.949,983.58,1052.942,1452.403,2029.446,1653.278,2820.67,1403.346,2003.347,3087.051,2741.099,1792.57,2671.073,1445.35,2490.487
260,2295.244,1366.934,988.345,1061.673,1443.543,2157.808,1687.938,2679.161,1452.154,2070.089,3050.365,2749.294,1824.669,2598.803,1409.2,2507.449
270,2234.311,1360.007,950.638,953.399,1366.075,2148.763,1638.845,2751.589,1349.205,2067.351,3049.438,2697.358,1825.648,2501.956,1393.537,2586.073
280,2342.889,1462.27,930.857,1031.562,1388.198,1975.65,1585.619,2724.062,1507.744,2051.284,3026.277,2759.638,1761.816,2614.577,1480.275,2519.88
290,2223.044,1337.912,906.785,940.918,1381.86,2058.932,1686.928,2519.714,1390.891,2053.991,3032.876,2790.573,1846.601,2544.409,1403.2,2459.497
300,2193.916,1324.131,954.655,1002.173,1391.372,2046.051,1653.753,2607.179,1371.397,2067,3037.496,2697.311,1758.447,2477.182,1494.312,2480.668
310,2177.596,1411.891,954.096,956.962,1398.928,2027.09,1647.969,2692.795,1512.859,2031.653,3035.628,2662.904,1748.976,2473.321,1388.562,2460.563
320,2218.987,1343.54,945.904,1015.457,1346.853,2073.808,1724.887,2783.304,1386.372,2001.213,3051.182,2654.235,1789.334,2453.964,1394.325,2504.772
330,2216.684,1352.109,915.184,936.986,1346.369,2015.328,1616.052,2577.536,1341.282,1994.409,2982.234,2633.85,1768.99,2495.825,1370.763,2538.582
340,2208.964,1324.949,918.652,949.486,1261.7,2007.384,1638.773,2674.545,1395.955,1996.769,3010.657,2636.328,1727.038,2454.759,1375.662,2438.177
350,2241.076,1290.905,887.881,1043.764,1335.765,2020.734,1583,2680.812,1309.141,1857.276,2936.876,2598.778,1708.655,2526.35,1283.05,2475.187
360,2186.653,1354.153,888.157,947.51,1325.846,1955.605,1549.134,2605.652,1234.263,1891.609,2940.854,2678.205,1692.188,2380.27,1393.6,2427.465
370,2140.796,1349.146,932.949,958.524,1292.563,1943.056,1650.701,2644.946,1220.295,1867.067,2929.314,2746.696,1708.84,2392.307,1262.763,2434.161
380,2136.649,1444.577,918.754,922.418,1320.556,1938.644,1648.856,2595.339,1274.801,1890.618,2900.818,2709.154,1658.522,2524.686,1361.862,2519.013
390,2206.804,1319.489,922.99,949.745,1314.375,1915.684,1611.619,2619.438,1287.949,1895.982,2967.022,2688.065,1671.846,2492.679,1263.162,2445.639
400,2125.307,1344.898,955.983,1004.716,1247.993,1908.559,1612.278,2584.902,1319.981,1918.969,2917.956,2684.048,1733.259,2488.898,1381.362,2460.358
410,2108.307,1318.847,866.133,923.514,1262.652,1937.576,1520.619,2636.321,1263.391,1906.698,2915.92,2726.676,1712.833,2412.489,1369.612,2425.715
420,2118.529,1348.131,840.471,906.337,1264.696,1901.277,1576.32,2718.321,1292.917,2012.818,2871.343,2739.805,1621.952,2411.788,1410.925,2371.373
430,2036.836,1330.226,883.867,911.673,1238.416,1977.774,1574.546,2726.955,1234.288,1923.84,2895.628,2693.416,1623.669,2388.898,1394.138,2425.617
440,2019.031,1380.109,840.014,951.712,1283.386,1881.333,1544.763,2609.08,1263.846,1947.96,2884.774,2664.512,1652.055,2357.204,1270.375,2436.047
450,1953.92,1383.839,877.549,919.264,1261.14,1903.379,1466.155,2680.339,1273.75,1940.689,2874.832,2756.358,1660.14,2325.467,1409.662,2416.902
460,2044.204,1406.263,939.235,883.433,1285.87,1898.181,1455.619,2542.955,1244.821,1982.511,2821.766,2748.611,1648.635,2307.81,1429.912,2403.174
470,2034.356,1364.511,915.13,927.111,1250.696,1910.791,1483.907,2703.116,1275.776,1914.711,2776.54,2687.669,1638.464,2338.131,1388.688,2366.69
480,1991.956,1321.839,913.082,914.25,1255.584,1844.684,1467.474,2760,1215.179,1949.218,2869.511,2672.932,1659.823,2365.438,1396.375,2456.858
490,2043.68,1361.161,863.59,863.514,1215.597,1912.045,1526.546,2750.714,1186.981,1984.689,2904.197,2740.358,1642.99,2429.686,1454.975,2505.646
500,2004.431,1441.569,941.433,864.764,1231.969,1880.565,1527.99,2796.982,1128.782,1932.493,2791.869,2691.932,1654.601,2336.555,1381.112,2407.038
510,1932.222,1319.321,918.894,823.337,1211.904,1842.548,1451.124,2712.5,1217.583,1938.689,2826.161,2660.713,1584.406,2289.292,1419.3,2365.475
520,2034.556,1342.708,910.109,880.413,1180.799,1850.215,1380.505,2750.777,1273.006,1953.489,2823.796,2683.587,1613.375,2347.255,1431.5,2424.402
530,1894.293,1314.737,858.713,897.087,1221.174,1791.124,1544.959,2793.75,1253.397,1993.724,2822.285,2858.386,1637.676,2332.27,1398.125,2392.845
540,1978.689,1301.62,925.375,877.327,1217.137,1844.164,1482.124,2770.446,1258.628,1931.529,2778.197,2708.051,1646.055,2296.423,1330.487,2404.497
550,1950.116,1376.759,901.717,857.957,1244.44,1852.356,1545.742,2787.589,1183.16,1926.627,2813.073,2712.532,1648.444,2353.825,1369.675,2362.816
560,2020.911,1348.518,883.007,899.197,1195.017,1865.96,1488.526,2742.357,1156.045,1949.724,2855.051,2763.672,1613.345,2324.066,1371.162,2448.576
570,1897.458,1316.978,946.379,834.014,1240.488,1835.181,1435.856,2750.589,1137.205,1926.667,2773.737,2729.208,1602.276,2342.577,1339.375,2392.684
580,1872.778,1314.591,958.14,825.63,1229.863,1821.198,1360.165,2750.232,1240.064,1894.64,2816.299,2723.563,1628.747,2293.131,1282.575,2455.56
590,1882.702,1302.905,920.027,884.274,1246.427,1834.723,1373.412,2778.688,1114.936,1978.338,2889.759,2769.928,1666.157,2265.759,1329.775,2367.108
600,1855.493,1440.066,973.894,871.375,1238.082,1781.853,1381.32,2803.75,1076.141,1903.658,2831.504,2648.652,1681.106,2305.204,1389.7,2435.063
610,1853.658,1347.898,898.98,866.034,1229.928,1845.644,1325.649,2855.446,1125.212,1952.191,2849.803,2689.666,1656.225,2295.628,1446.162,2440.801
620,1880.751,1340.796,922.29,860.692,1271.638,1820.847,1394.546,2824.366,1136.865,1885.08,2782.066,2672.201,1639.348,2229.766,1348.1,2384.101
630,1910.542,1339.394,916.993,820.635,1254.055,1827.627,1444.495,2764.402,1169.256,1888.276,2850.46,2740.826,1661.98,2303.672,1421.162,2390.997
640,1890.871,1349.759,896.41,861.736,1193.604,1731.328,1393.577,2708.107,1180.397,1910.027,2756.044,2690.031,1626.259,2345.27,1370.75,2463.665
650,1871.529,1414.942,937.229,892.702,1180.058,1844.904,1403.454,2851.446,1212.737,1902.622,2846.861,2677.034,1665.447,2288.934,1374.362,2416.741
660,1825.053,1413.263,933.078,839.966,1291.556,1845.305,1389.124,2876.107,1204.654,1914.462,2796.723,2638.584,1649.73,2279.372,1367.263,2436.234
670,1916.702,1435.518,889.573,897.082,1252.56,1859.073,1367.804,2777.661,1160.577,1897.369,2814.912,2672.928,1612.904,2317.569,1287.225,2373.095
680,1924.436,1384.409,925.488,853.851,1273.276,1821.04,1354.536,2966.25,1145.609,1985.204,2797.876,2638.365,1571.068,2306.416,1357.825,2362.687
690,1842.151,1422.847,920.147,835.812,1206.164,1801.328,1414.753,2809.705,1198.699,2033.991,2863.65,2603.147,1594.788,2297.81,1383.487,2368.918
700,1852.604,1411.679,934.614,834.298,1215.601,1790.785,1321.34,2745.446,1155.417,1963.991,2774.445,2696.061,1504.881,2296.197,1334.088,2391.984
710,1847.649,1412.343,894.399,791.471,1268.474,1754.814,1386.381,2854.205,1237.09,1932.64,2795.788,2710.089,1502.874,2261.693,1329.05,2389.013
720,1850.573,1384.927,910.355,837.486,1259.969,1768.887,1351.165,2830.107,1232.865,1949.689,2809.474,2764.846,1557.867,2290.628,1273.688,2423.649
730,1830.253,1426.708,865.942,825.899,1251.379,1799.203,1412.381,2808.205,1196.833,1859.72,2745.066,2722.85,1546.423,2282.022,1293.463,2363.975
740,1836.787,1411.891,911.782,881.361,1280.034,1787.565,1304.443,2727.902,1164.071,1879.809,2823.343,2728.71,1577.331,2250.182,1299.438,2357.978
750,1775.089,1398.088,950.055,827.005,1250.84,1758.746,1382.897,2711.848,1166.808,1870.391,2768.832,2740.457,1512.304,2271.978,1248.463,2360.807
760,1784.871,1392.606,881.758,835.274,1242.522,1797.136,1362.814,2592.286,1113.058,1863.378,2759.803,2780.051,1614.795,2157.876,1252.45,2381.228
770,1729.382,1353.058,925.491,800.726,1224.724,1796.017,1435.206,2673,1151.737,1902.778,2763.927,2833.778,1578.109,2258.54,1298.338,2372.766
780,1729.84,1327.745,885.608,869.298,1198.457,1716.418,1386.052,2678.098,1126.231,1917.102,2829.584,2820.765,1542.29,2274.423,1434.812,2384.462
790,1790.898,1373.029,904.468,837.966,1267.485,1755.701,1444.34,2686.768,1143.244,1915.178,2809.686,2790.543,1591.532,2267.657,1372.175,2360.392
800,1745.28,1320.854,884.836,786.692,1225.082,1765.203,1383.835,2720.786,1221.583,1912.067,2795.993,2748.317,1575.389,2201.715,1327.537,2342.785
810,1767.493,1367.54,899.608,846.534,1166.509,1774.52,1415.237,2813.821,1141.955,1910.556,2722.314,2767.061,1547.99,2148.073,1330.487,2329.313
820,1815.64,1381.292,920.638,857.274,1229.526,1819.073,1287.309,2780.438,1220.929,1883.884,2800.365,2771.191,1534.242,2229.818,1272.138,2352.386
830,1799.631,1428.489,922.826,801.394,1202.358,1808.226,1388.485,2678.339,1124.295,1900.711,2795.19,2778.003,1513.27,2256.591,1431.75,2299.646
840,1812.911,1408.927,1014.584,876.192,1216.515,1760.989,1405.804,2702.875,1144.154,1944.831,2904.124,2879.061,1501.659,2264.496,1431.075,2247.968
850,1754.333,1391.255,1037.41,879.567,1183.468,1756.045,1412.32,2700.393,1101.109,1834.289,2821.088,2768.41,1506.904,2226.372,1356.513,2235.275
860,1807.796,1464.241,1041.085,871.5,1266.976,1765.881,1336.093,2640.009,1123.481,1872.964,2821.234,2749.137,1499.563,2194.27,1279.237,2231.301
870,1809.387,1450.307,892.488,917.462,1204.42,1700.65,1431.876,2765.277,1142.083,1895.751,2933.847,2759,1522.621,2196.27,1338.537,2278.041
880,1796.471,1427.555,900.621,848.981,1286.283,1863.542,1403.577,2732.027,1149.41,1941.764,2902.044,2838.911,1543.369,2134.745,1305.2,2251.949
890,1778.822,1448.109,910.795,876.918,1265.02,1747.887,1331.34,2691.652,1167.558,1898.102,2843.985,2813.836,1563.007,2179.022,1300.375,2259.478
900,1811.756,1516.547,904.918,870.394,1262.3,1800.469,1370.351,2670.455,1052.397,1890.631,2813.255,2729.84,1532.819,2134.226,1278.112,2231.715